Quest Title,Type,Objectives,Rewards,Required for Kappa,Previous Quest,next
Cargo X - Part 1,PickUp,"Obtain the data in the computer room in the east wing of the Health Resort
Hand over the retrieved data to Peacekeeper","+8,200 EXP
Peacekeeper Rep +0.03
700 Dollars
1× Pistol case
2× Colt M45A1 .45 ACP pistol
6× M1911A1 .45 ACP Wilson Combat 7-round magazine",Yes,"Previous:
Spa Tour - Part 7","Leads to:
Cargo X - Part 2"
Cargo X - Part 2,Exploration,"Locate the room with reservoirs in the Health Resort
Obtain any information about the second part of the cargo shipment
Hand over the retrieved information to Peacekeeper","+8,300 EXP
Peacekeeper Rep +0.03
850 Dollars
1× Colt M4A1 5.56x45 assault rifle
3× 5.56x45 Magpul PMAG 30 GEN M3 W STANAG 30-round magazine
Unlocks purchase of KAC QDSS NT-4 5.56x45 sound suppressor (Black) at Peacekeeper LL3",Yes,"Previous:
Cargo X - Part 1","Leads to:
Cargo X - Part 3"
Cargo X - Part 3,Multi,"Find the hidden TerraGroup cargo on Shoreline
Survive and extract from the location","+8,400 EXP
Peacekeeper Rep +0.03
900 Dollars
1× HK MP7A1 4.6x30 submachine gun",Yes,"Previous:
Cargo X - Part 2","Leads to:
Cargo X - Part 4"
Wet Job - Part 1,Elimination,"Eliminate 10 Scavs while using a suppressed M4A1, ADAR or TX-15 on Shoreline","+11,400 EXP
Peacekeeper Rep +0.04
1,100 Dollars
2× Secure magnetic tape cassette
Unlocks craft for .300 Blackout M62 Tracer at Workbench level 3",Yes,"Previous:
Spa Tour - Part 7","Leads to:
Wet Job - Part 2"
Wet Job - Part 2,Exploration,"Find the fishermen's dwelling on Shoreline
Mark the fishing table with an MS2000 Marker
Survive and extract from the location","+9,700 EXP
Peacekeeper Rep +0.03
1,300 Dollars
1× Eberlestock F5 Switchblade backpack (Dry Earth)
Unlocks barter for 5.56x45 Magpul PMAG D-60 STANAG 60-round magazine at Peacekeeper LL4
Unlocks purchase of MSA ACH TC-2001 MICH Series helmet (Olive Drab) at Peacekeeper LL2",Yes,"Previous:
Wet Job - Part 1","Leads to:
Wet Job - Part 3"
Wet Job - Part 3,Exploration,"Find Artyom's car on Shoreline
Survive and extract from the location","+8,200 EXP
Peacekeeper Rep +0.03
1,500 Dollars
1× NcSTAR ADO P4 Sniper 3-9x42 riflescope
Unlocks purchase of HK 416A5 5.56x45 assault rifle at Peacekeeper LL3",Yes,"Previous:
Wet Job - Part 2","Leads to:
Wet Job - Part 4"
Wet Job - Part 4,PickUp,"Obtain a list of the resort's tenants on Shoreline
Hand over the list of tenants to Peacekeeper","+8,300 EXP
Peacekeeper Rep +0.03
1,700 Dollars
1× Shoreline Health Resort plan map
Unlocks purchase of Desert Tech MDR 7.62x51 assault rifle at Peacekeeper LL4",Yes,"Previous:
Wet Job - Part 3","Leads to:
Wet Job - Part 5
Mentor"
Wet Job - Part 5,PickUp,"Obtain information on Artyom's work on Shoreline
Hand over the information to Peacekeeper","+8,400 EXP
Peacekeeper Rep +0.03
1,700 Dollars
1× HighCom Trooper TFO body armor (MultiCam)
Unlocks purchase of Remington R11 RSASS 7.62x51 marksman rifle at Peacekeeper LL4
Unlocks purchase of AFAK tactical individual first aid kit at Peacekeeper LL4",Yes,"Previous:
Wet Job - Part 4","Leads to:
Wet Job - Part 6
Worst Job in the World"
Mentor,Completion,"Hand over 50,000 EUR to Peacekeeper",+3 Sniper Rifles skill levels,No,"Previous:
Wet Job - Part 4","Leads to:
-"
Wet Job - Part 6,Skill,Reach the required Sniper Rifles skill level of 7,"+8,500 EXP
Peacekeeper Rep +0.03
3,500 Dollars
1× Lobaev Arms DVL-10 7.62x51 bolt-action sniper rifle (variant Saboteur)
50× 7.62x51mm M61
Unlocks barter for FN40GL Mk2 40mm grenade launcher at Peacekeeper LL4",Yes,"Previous:
Wet Job - Part 5","Leads to:
Psycho Sniper
The Guide"
The Guide,Exploration,"Survive and extract from Woods with the ""Survived"" exit status
Survive and extract from Customs with the ""Survived"" exit status
Survive and extract from Interchange with the ""Survived"" exit status
Survive and extract from Shoreline with the ""Survived"" exit status
Survive and extract from Factory with the ""Survived"" exit status
Survive and extract from The Lab with the ""Survived"" exit status
Survive and extract from Reserve with the ""Survived"" exit status
Survive and extract from Lighthouse with the ""Survived"" exit status
Survive and extract from Streets of Tarkov with the ""Survived"" exit status","+42,600 EXP
Peacekeeper Rep +0.04
25,000 Dollars
1× EOTech HHS-1 hybrid sight (Tan)
1× Ops-Core SLAAP armor helmet plate (Tan)
3× AR-15 Vltor MUR-1S 5.56x45 upper receiver
Unlocks purchase of EOTech HHS-1 hybrid sight (Tan) at Peacekeeper LL4
Unlocks purchase of Ops-Core SLAAP armor helmet plate (Tan) at Peacekeeper LL4
Unlocks purchase of AR-15 Vltor MUR-1S 5.56x45 upper receiver at Peacekeeper LL4
Unlocks craft for 4.6x30mm AP SX at Workbench level 3",Yes,"Previous:
Wet Job - Part 6","Leads to:
The Cleaner"
Samples,PickUp,"Find 1 M.U.L.E. stimulant injector in raid
Hand over 1 M.U.L.E. stimulant injector to Peacekeeper
Find 1 ""Obdolbos"" cocktail injector in raid
Hand over 1 ""Obdolbos"" cocktail injector to Peacekeeper
Find 1 Meldonin stimulant injector in raid
Hand over 1 Meldonin stimulant injector to Peacekeeper
Find 1 AHF1-M stimulant injector in raid
Hand over 1 AHF1-M stimulant injector to Peacekeeper
Find 1 P22 (Product 22) stimulant injector in raid
Hand over 1 P22 (Product 22) stimulant injector to Peacekeeper
Find 1 L1 (Norepinephrine) stimulant injector in raid
Hand over 1 L1 (Norepinephrine) stimulant injector to Peacekeeper
Find 1 3-(b-TG) stimulant injector in raid
Hand over 1 3-(b-TG) stimulant injector to Peacekeeper","+15,300 EXP
Peacekeeper Rep +0.04
4,000 Dollars
1× Ammunition case
1× DS Arms SA-58 7.62x51 assault rifle (variant BEL)
Unlocks purchase of Ops-Core FAST multi-hit ballistic face shield at Peacekeeper LL4
Unlocks purchase of Team Wendy EXFIL Ballistic Helmet (variant Black) at Peacekeeper LL4",Yes,"Previous:
Anesthesia
Fishing Gear","Leads to:
TerraGroup Employee"
TerraGroup Employee,PickUp,"Find Sanitar's workplace in the Lab
Obtain information about Sanitar's work
Hand over the Flash drive marked with blue tape to Peacekeeper","+17,000 EXP
Peacekeeper Rep +0.04
5,000 Dollars
4× Desert Tech MDR 7.62x51 assault rifle
3× AR-10 7.62x51 Magpul PMAG 20 SR-LR GEN M3 20-round magazine
80× 7.62x51mm M80
Unlocks purchase of Mesa Tactical Crosshair Hydraulic buffer tube at Peacekeeper LL4",Yes,"Previous:
Samples
Colleagues - Part 3
or
The Huntsman Path - Sadist","Leads to:
-"
Lend-Lease - Part 2,PickUp,"Find 2 Virtex programmable processors in raid
Find 1 Military COFDM Wireless Signal Transmitter in raid
Hand over 2 Virtex programmable processors to Peacekeeper
Hand over 1 Military COFDM Wireless Signal Transmitter to Peacekeeper","+21,000 EXP
Peacekeeper Rep +0.04
2,000 Dollars
2× HK 416A5 5.56x45 assault rifle
2× 5.56x45 Magpul PMAG D-60 STANAG 60-round magazine
2× 5.56x45 SureFire MAG5-60 STANAG 60-round magazine
300× 5.56x45mm M995",Yes,"Previous:
Lend-Lease - Part 1","Leads to:
Peacekeeping Mission"
Peacekeeping Mission,Elimination,"Eliminate 12 Scavs on Woods while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)
Eliminate 12 Scavs on Customs while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)
Eliminate 12 Scavs on Interchange while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)
Eliminate 12 Scavs on Shoreline while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)
Eliminate 12 Scavs on Streets of Tarkov while wearing a UN uniform (UN helmet, MF-UNTAR body armor, M4A1 rifle)","+25,500 EXP
Peacekeeper Rep +0.04
1× Remington Model 700 7.62x51 bolt-action sniper rifle (variant AAC SD)
30× 7.62x51mm M61
2× GPNVG-18 Night Vision goggles
Unlocks barter for CQC Osprey MK4A plate carrier (Protection, MTP) at Peacekeeper LL4
Unlocks barter for Cult Locust ballistic plate at Skier LL4",Yes,"Previous:
Lend-Lease - Part 2","Leads to:
-"
Classified Technologies,Pickup,"Obtain the package with T-90M Commander control panel on Reserve
Hand over the package to Peacekeeper","+7,200 EXP
Peacekeeper Rep +0.02
800 Dollars
200× 5.7x28mm R37.F",Yes,"Previous:
Revision - Reserve","Leads to:
-"
Revision - Reserve,Discovery,"Locate and inspect the first BMP-2 on Reserve
Mark the first BMP-2 with an MS2000 Marker
Locate and inspect the second BMP-2 on Reserve
Mark the second BMP-2 with an MS2000 Marker
Locate and inspect the third BMP-2 on Reserve
Mark the third BMP-2 with an MS2000 Marker
Locate and inspect the fourth BMP-2 on Reserve
Mark the fourth BMP-2 with an MS2000 Marker
Locate and inspect the first LAV III on Reserve
Mark the first LAV III with an MS2000 Marker
Locate and inspect the second LAV III on Reserve
Locate and inspect the T-90 tank on Reserve","+7,300 EXP
Peacekeeper Rep +0.03
800 Dollars
15× 5.56x45mm Warmageddon ammo pack (20 pcs)",Yes,"Previous:
Humanitarian Supplies","Leads to:
Classified Technologies
Revision - Lighthouse
Revision - Streets of Tarkov"
The Cleaner,Elimination,Eliminate 40 Scav Raiders on Reserve,"+84,000 EXP
+1 Designated Marksman Rifles skill level
+2 Submachine guns skill level
+2 Assault Rifles skill level
3,000 Euros
Unlocks craft for .300 Blackout AP at Workbench level 3",No,"Previous:
The Guide","Leads to:
-"
Special Equipment,PickUp,"Find 5 VPX Flash Storage Modules in raid
Find 5 UHF RFID Readers in raid
Find 5 Virtex programmable processors in raid
Find 5 Military COFDM Wireless Signal Transmitters in raid
Find 4 Military flash drives in raid
Handover 5 VPX Flash Storage Modules to Peacekeeper
Handover 5 UHF RFID Readers to Peacekeeper
Handover 5 Virtex programmable processors to Peacekeeper
Handover 5 Military COFDM Wireless Signal Transmitters to Peacekeeper
Handover 4 flash drives","+177,000 EXP
1× Weapon case
7× TerraGroup Labs access keycard
4× Iridium military thermal vision module",No,"Previous:
Trophies","Leads to:
-"
Cargo X - Part 4,Discovery,"Locate and mark the TerraGroup cargo with an MS2000 Marker on Lighthouse
Survive and extract from the location","+8,600 EXP
Peacekeeper Rep +0.02
800 Dollars
Unlocks purchase of Ops-Core FAST MT Super High Cut helmet (Urban Tan) at Peacekeeper LL4",Yes,"Previous:
Cargo X - Part 3","Leads to:
Your Car Needs a Service
Insomnia"
Insomnia,Elimination,Eliminate 30 PMC operatives in the time period of 22:00-05:00 (Excluding Factory and  The Lab),"+18,200 EXP
Peacekeeper Rep +0.01
1,000 Dollars
2× GPNVG-18 Night Vision goggles
1× Ops-Core FAST MT Super High Cut helmet (Black)
2× Ops-Core FAST multi-hit ballistic face shield
Unlocks barter for SAPI level III+ ballistic plate at Peacekeeper LL4",Yes,"Previous:
Cargo X - Part 4","Leads to:
-"
Counteraction,Elimination,"Eliminate 20 BEAR PMC operatives all over the Lighthouse territory
Hand over 20 found in raid BEAR PMC dogtags","+22,000 EXP
Peacekeeper Rep +0.03
2,300 Dollars
1× SSD drive
1× Intelligence folder
1× Topographic survey maps
Unlocks purchase of 23x75mm Zvezda flashbang round at Skier LL4",No,"Previous:
Spa Tour - Part 3","Leads to:
-"
Overpopulation,Elimination,Secure the cottage area from Scavs on Lighthouse,"+12,000 EXP
Peacekeeper Rep +0.02
1,100 Dollars
Unlocks barter for DS Arms SA-58 7.62x51 assault rifle (variant AUT) at Peacekeeper LL2",Yes,"Previous:
Spa Tour - Part 1","Leads to:
-"
Revision - Lighthouse,Discovery,"Locate and mark the first BRDM with an MS2000 Marker
Locate and mark the second BRDM with an MS2000 Marker
Locate and mark the first Stryker with an MS2000 Marker
Locate and mark the second Stryker with an MS2000 Marker","+7,800 EXP
Peacekeeper Rep +0.03
850 Dollars
Unlocks purchase of FN Five-seveN MK2 5.7x28 pistol (FDE) at Peacekeeper LL2
Unlocks purchase of 7.62x51mm M80 at Peacekeeper LL3",Yes,"Previous:
Revision - Reserve","Leads to:
-"
Trophies,Pickup,"Find in raid and handover 20× BEAR PMC Dogtags of level 50+
Find in raid and handover 20× USEC PMC Dogtags of level 50+","+137,000 EXP
4× Ammunition case
1× Armband (UNTAR)
1× FN40GL Mk2 40mm grenade launcher
10× 40x46mm M433 (HEDP) grenade
Unlocks craft for 7.62x51mm M61 at Workbench level 3",No,"Previous:
The Huntsman Path - Forest Cleaning","Leads to:
Special Equipment"
Revision - Streets of Tarkov,Discovery,"Locate and mark the first LAV III with an MS2000 Marker on Streets of Tarkov
Locate and mark the Stryker with an MS2000 Marker on Streets of Tarkov
Locate and mark the second LAV III with an MS2000 Marker on Streets of Tarkov
Survive and extract from the location","+8,600 EXP
Peacekeeper Rep +0.02
450 Dollars
Unlocks purchase of FN SCAR-L 5.56x45 assault rifle (FDE) (variant CQC) at Peacekeeper LL2",No,"Previous:
Revision - Reserve","Leads to:
Worst Job in the World"
Road Closed,Exploration,"Locate the cargo convoy on Streets of Tarkov
Determine the ambush spot
Survive and extract from the location","+10,500 EXP
Peacekeeper Rep +0.02
62,300 Roubles
1× HK MP7A1 4.6x30 submachine gun
3× HK MP7 4.6x30 20-round magazine
80× 4.6x30mm Action SX",No,"Previous:
Spa Tour - Part 7","Leads to:
-"
Worst Job in the World,Elimination,Eliminate any 30 hostiles from over 100 meters away while using AR-15 platform weapons,"+15,400 EXP
Peacekeeper Rep +0.03
Unlocks barter for M203 40mm underbarrel grenade launcher at Peacekeeper LL3
Unlocks purchase of 40x46mm M386 (HE) grenade at Peacekeeper LL3",No,"Previous:
Revision - Streets of Tarkov
Wet Job - Part 5","Leads to:
-"
Your Car Needs a Service,PickUp,"Obtain the digital storage device from the car dealership manager's office on Streets of Tarkov
Hand over the digital storage device","+31,400 EXP
Peacekeeper Rep +0.03
1,000 Dollars
Unlocks craft for 5.56x45mm M855A1 at Workbench level 3",No,"Previous:
Cargo X - Part 4","Leads to:
-"
